country_iso3,year,education_spend_pct_gdp,gdp_per_capita_usd,health_spend_pct_gdp,life_expectancy,rd_spend_pct_gdp
NLD,2004,5.0411901473999,40611.3414353091,9.07156658,79.0951219512195,1.78132
NLD,2005,5.08871984481812,42165.396168388,9.05984592,79.3463414634146,1.7667
NLD,2006,5.01913976669312,45123.5432406426,9.03575516,79.6975609756098,1.73208
NLD,2007,4.85854005813599,52100.7996285947,9.00052166,80.0975609756098,1.66063
NLD,2008,4.99737977981567,58246.7026905874,9.21819305,80.2512195121951,1.61247
NLD,2009,5.38561010360718,53172.0261581418,9.90839005,80.5487804878049,1.65161
NLD,2010,5.45634984970093,51305.7338533973,10.09452248,80.7024390243902,1.69388
NLD,2011,5.41595983505249,54701.7728030611,10.14537811,81.2048780487805,1.8651
NLD,2012,5.36694002151489,50473.9442002689,10.45467281,81.1048780487805,1.90094
NLD,2013,5.48417997360229,52602.2860520766,10.50247383,81.3048780487805,2.13953
NLD,2014,5.40205001831055,53457.2234864322,10.45699596,81.7073170731707,2.15067
NLD,2015,5.27802991867065,45793.8135434697,10.18857956,81.509756097561,2.11792
NLD,2016,5.38952016830444,46808.5291492503,9.89148426,81.5609756097561,2.11546
NLD,2017,5.08747005462646,49513.6817346384,9.93712521,81.7609756097561,2.14167
NLD,2018,5.26723003387451,53955.0770024266,9.85083961,81.8121951219512,2.1027
NLD,2019,5.0559401512146,53554.9007491475,9.93616295,82.1121951219512,2.14036
NLD,2020,5.29139995574951,53467.9277413737,10.94954681,81.3585365853659,2.26514
NLD,2021,5.37661981582642,60141.9880911492,11.13498974,81.309756097561,2.21542
NLD,2022,5.17918014526367,59123.318556487,10.03109169,81.6146341463415,2.17529
NLD,2023,,63515.6030780019,9.83150005,81.8634146341464,2.26719
NLD,2024,,67520.4218956281,10.00551128,81.9658536585366,
NOR,1995,7.69568014144897,34875.7043347536,,77.7365853658537,
NOR,1996,7.13806009292603,37321.9741993473,,78.1504878048781,
NOR,1997,7.30343008041382,36629.0309036621,,78.1426829268293,1.5935
NOR,1998,7.35761022567749,34803.4634058738,,78.3292682926829,
NOR,1999,6.96224021911621,36393.2927471088,,78.2829268292683,1.60437
NOR,2000,6.45935010910034,38178.2368777076,7.70270586,78.6341463414634,
NOR,2001,6.82014989852905,38601.897639231,8.00972462,78.7853658536585,1.56019
NOR,2002,7.42243003845215,43170.557174499,8.98267078,78.9878048780488,1.62644
NOR,2003,7.39930009841919,50250.3298214345,9.19355106,79.390243902439,1.67572
NOR,2004,7.27745008468628,57768.6980958462,8.79598331,79.8414634146342,1.53976
NOR,2005,6.84081983566284,67047.1704558264,8.29899502,80.0414634146342,1.47715
NOR,2006,6.35823011398315,74434.4996835671,7.8822999,80.3439024390244,1.44972
NOR,2007,6.50672006607056,85502.2677087731,8.01673985,80.3951219512195,1.55795
NOR,2008,6.2491397857666,97503.5407803783,7.91507673,80.5926829268293,1.54556
NOR,2009,7.07068014144897,80347.5700665184,9.03254128,80.7951219512195,1.71678
NOR,2010,6.71042013168335,88163.2085931423,8.8581152,80.9975609756098,1.6412
NOR,2011,6.4148998260498,101221.813476644,8.73474026,81.2951219512195,1.61714
NOR,2012,7.32766008377075,102175.919298374,8.72188568,81.4512195121951,1.61053
NOR,2013,7.43905019760132,103553.840134417,8.87431335,81.7512195121951,1.64216
NOR,2014,7.64402008056641,97666.6951838749,9.28297901,82.1,1.70369
NOR,2015,7.52335977554321,74809.9658049898,10.06992245,82.3048780487805,1.92351
NOR,2016,7.98443984985352,70867.3609970749,10.53049755,82.4073170731707,2.03286
NOR,2017,7.84599018096924,76131.8384032764,10.22983646,82.609756097561,2.08168
NOR,2018,7.59564018249512,82792.8427113304,9.96037865,82.7585365853659,2.03482
NOR,2019,7.86455011367798,76430.5889473338,10.43807507,82.9585365853659,2.13599
NOR,2020,8.37281036376953,68340.0181033702,11.42416382,83.209756097561,2.24436
NOR,2021,6.9602198600769,93072.8925119571,9.8142643,83.1634146341463,1.88764
NOR,2022,5.43234014511108,109269.520580298,7.90873051,82.509756097561,1.55081
NOR,2023,,87497.2179649556,9.42925453,83.0121951219512,1.85142
NOR,2024,,86785.4334489176,,83.1609756097561,
NZL,1995,5.74212980270386,17400.4201848172,,76.7341463414634,
NZL,1996,6.38371992111206,18794.436039393,,76.7878048780488,
NZL,1997,6.15721988677979,17474.187029724,,77.3341463414634,1.05649
NZL,1998,,14738.4455703918,,78.0853658536585,
NZL,1999,6.6362099647522,15322.2238340267,,77.890243902439,0.96387
NZL,2000,5.60442018508911,13641.1027183822,7.46995974,78.6365853658537,
NZL,2001,,13882.8568268586,7.5789361,78.6926829268293,1.10029
NZL,2002,,16874.1874918196,7.90034246,78.8463414634146,
NZL,2003,,21913.7081719961,7.72179937,79.1463414634146,1.14891
NZL,2004,,25420.234882944,7.90095711,79.5487804878049,
NZL,2005,,27751.0654708859,8.27324677,79.8512195121951,1.12043
NZL,2006,,26654.5932018985,8.63846684,80.0487804878049,
NZL,2007,,32479.9817381467,8.32899952,80.1512195121951,1.15764
NZL,2008,,31324.7397977102,8.65133667,80.3512195121951,
NZL,2009,,28276.7255416225,9.13566399,80.7024390243902,1.24916
NZL,2010,,33761.9009639947,9.09511089,80.9048780487805,
NZL,2011,,38431.7766788499,9.10748196,81.1560975609756,1.23083
NZL,2012,,40053.6991536369,9.20243168,81.4073170731707,
NZL,2013,5.88539981842041,43000.4646849189,8.9393549,81.4048780487805,1.15275
NZL,2014,5.8033299446106,44618.266973847,8.97204113,81.4568292682927,
NZL,2015,5.70350980758667,38665.3723018158,8.88920593,81.6124390243903,1.22707
NZL,2016,5.49972009658813,40113.7195382428,8.76869011,81.6585365853659,
NZL,2017,5.27543020248413,42950.3841711138,8.61795807,81.8585365853659,1.34788
NZL,2018,5.1896800994873,43257.0769238879,8.56966972,81.7073170731707,
NZL,2019,5.1741099357605,42855.831861632,8.61898708,82.0560975609756,1.4642
NZL,2020,5.64268016815185,41997.7830324279,9.25240231,82.2560975609756,
NZL,2021,5.5409197807312,49950.4251691316,9.55072403,82.2073170731707,1.48604
NZL,2022,5.16741991043091,49099.7090423358,10.56814575,81.9585365853658,
NZL,2023,5.21326017379761,49075.9562832927,10.12947655,81.7585365853659,1.54848
NZL,2024,,49205.1792146792,10.06186676,82.009756097561,
PAK,1995,2.79531002044678,450.550279346206,,60.273,
